id,user_prompt,response,timestamp,user_id
1,Suggest a quick breakfast.,Grilled chicken with vegetables is a good choice.,2026-04-13 00:00:00,4
2,What can I cook in 30 minutes?,Grilled chicken with vegetables is a good choice.,2026-03-08 13:00:00,2
3,What recipe can I make with chicken?,You can make chicken pasta or a chicken wrap.,2026-05-24 07:00:00,36
4,Suggest a quick breakfast.,Try a grilled chicken rice bowl.,2026-04-29 11:00:00,9
5,What can I cook for dinner?,Try a grilled chicken rice bowl.,2026-01-16 15:00:00,9
6,Suggest a quick breakfast.,You can make chicken pasta or a chicken wrap.,2026-04-07 05:00:00,41
7,What can I cook in 30 minutes?,Try a grilled chicken rice bowl.,2026-05-31 02:00:00,17
8,What can I cook for dinner?,Try a grilled chicken rice bowl.,2026-01-17 14:00:00,42
9,What recipe can I make with chicken?,A banana oatmeal bowl is a quick option.,2026-01-24 18:00:00,8
10,What can I cook for dinner?,You can make chicken pasta or a chicken wrap.,2026-01-13 13:00:00,37
