receipt_id,name,caption,category,estimated_time,calories,fats,carbs,protein,timestamp,user_id
1,Chicken Rice Bowl,Grilled chicken served with seasoned rice and vegetables.,lunch,00:25:00,502,19.98,81.35,15.87,2026-06-14 08:00:00,30
2,Avocado Toast #2,Toasted bread topped with creamy avocado and egg.,breakfast,00:20:00,432,21.17,71.03,35.56,2026-04-20 08:00:00,38
3,Beef Shawarma Bowl #3,"Seasoned beef with rice, vegetables and tahini.",lunch,00:25:00,321,7.73,18.53,26.85,2026-01-29 08:00:00,10
4,Beef Pasta #4,"Pasta with seasoned beef, tomato sauce and herbs.",dinner,01:15:00,612,16.54,59.69,30.07,2026-04-30 08:00:00,34
5,Lentil Soup #5,Hearty lentil soup with vegetables and spices.,lunch,00:10:00,297,21.11,35.01,33.22,2026-06-14 08:00:00,22
6,Avocado Toast #6,Toasted bread topped with creamy avocado and egg.,breakfast,00:40:00,341,33.61,80.69,24.79,2026-03-09 08:00:00,33
7,Greek Yogurt Bowl #7,"Greek yogurt with fruit, oats and honey.",breakfast,00:15:00,485,20.23,29.92,39.14,2026-04-06 08:00:00,49
8,Greek Yogurt Bowl #8,"Greek yogurt with fruit, oats and honey.",breakfast,00:50:00,180,19.66,23.39,30.16,2026-04-03 08:00:00,20
9,Egg and Cheese Sandwich #9,"Eggs, cheese and vegetables in toasted bread.",breakfast,00:25:00,260,19.58,20.19,11.17,2026-05-17 08:00:00,50
10,Banana Oatmeal #10,"Warm oats with banana, milk and a touch of honey.",breakfast,01:15:00,666,9.95,54.58,43.03,2026-06-05 08:00:00,28
11,Greek Yogurt Bowl #11,"Greek yogurt with fruit, oats and honey.",breakfast,00:25:00,499,25.15,43.01,22.76,2026-05-13 08:00:00,29
12,Banana Oatmeal #12,"Warm oats with banana, milk and a touch of honey.",breakfast,00:25:00,245,22.65,32.26,20.51,2026-02-26 08:00:00,1
13,Vegetable Omelette #13,Egg omelette filled with fresh vegetables and herbs.,breakfast,01:15:00,240,32.16,79.47,16.47,2026-01-19 08:00:00,33
14,Avocado Toast #14,Toasted bread topped with creamy avocado and egg.,breakfast,01:15:00,677,8.97,85.16,15.93,2026-05-27 08:00:00,37
15,Chicken Pasta #15,Creamy pasta with grilled chicken and herbs.,lunch,00:45:00,596,7.91,47.33,15.05,2026-04-19 08:00:00,27
16,Vegetable Rice #16,Rice cooked with mixed vegetables and herbs.,lunch,00:10:00,280,26.85,75.04,10.24,2026-01-28 08:00:00,16
