id,text,number,receipt_id
1,Preheat the oven before starting.,4,98
2,Season with salt and black pepper.,2,68
3,Mix the ingredients until evenly combined.,6,10
4,Bake until golden and fully cooked.,2,8
5,Preheat the oven before starting.,4,74
6,Preheat the oven before starting.,3,22
7,Serve immediately while warm.,8,15
8,Season with salt and black pepper.,8,12
9,Preheat the oven before starting.,8,104
10,Wash and prepare all ingredients.,8,17
11,Preheat the oven before starting.,7,59
12,Bake until golden and fully cooked.,1,72
13,Mix the ingredients until evenly combined.,5,93
14,Wash and prepare all ingredients.,7,33
15,Wash and prepare all ingredients.,4,75
16,Heat a pan over medium heat.,1,55
17,Serve immediately while warm.,2,70
18,Wash and prepare all ingredients.,2,120
19,Mix the ingredients until evenly combined.,1,37
20,Garnish with fresh herbs before serving.,3,99
21,Add the main ingredients and cook until tender.,7,48
22,Garnish with fresh herbs before serving.,8,112
23,Garnish with fresh herbs before serving.,7,11
24,Preheat the oven before starting.,3,84
25,Serve immediately while warm.,2,23
26,Preheat the oven before starting.,7,68
27,Add the main ingredients and cook until tender.,4,107
28,Wash and prepare all ingredients.,1,39
29,Mix the ingredients until evenly combined.,7,69
30,Garnish with fresh herbs before serving.,4,32
31,Mix the ingredients until evenly combined.,6,20
32,Stir well and cook for a few more minutes.,4,120
33,Heat a pan over medium heat.,1,104
34,Garnish with fresh herbs before serving.,1,31
35,Season with salt and black pepper.,2,13
36,Bake until golden and fully cooked.,1,58
37,Bake until golden and fully cooked.,1,32
38,Wash and prepare all ingredients.,7,57
39,Season with salt and black pepper.,4,97
40,Wash and prepare all ingredients.,3,65
41,Stir well and cook for a few more minutes.,4,105
42,Bake until golden and fully cooked.,6,74
43,Bake until golden and fully cooked.,6,31
44,Stir well and cook for a few more minutes.,3,85
45,Preheat the oven before starting.,4,53
46,Stir well and cook for a few more minutes.,5,8
47,Preheat the oven before starting.,3,81
48,Garnish with fresh herbs before serving.,8,7
49,Serve immediately while warm.,7,101
50,Preheat the oven before starting.,6,90
51,Garnish with fresh herbs before serving.,7,20
52,Stir well and cook for a few more minutes.,7,24
53,Preheat the oven before starting.,8,31
54,Season with salt and black pepper.,5,110
55,Add the main ingredients and cook until tender.,8,118
56,Wash and prepare all ingredients.,7,54
57,Preheat the oven before starting.,3,50
58,Season with salt and black pepper.,5,27
59,Serve immediately while warm.,2,119
60,Mix the ingredients until evenly combined.,6,12
61,Preheat the oven before starting.,4,7
62,Stir well and cook for a few more minutes.,7,87
63,Bake until golden and fully cooked.,1,112
64,Heat a pan over medium heat.,4,103
65,Bake until golden and fully cooked.,4,62
66,Season with salt and black pepper.,6,39
67,Wash and prepare all ingredients.,4,120
68,Season with salt and black pepper.,2,96
69,Mix the ingredients until evenly combined.,4,90
70,Bake until golden and fully cooked.,4,51
71,Season with salt and black pepper.,6,100
72,Stir well and cook for a few more minutes.,7,60
73,Preheat the oven before starting.,6,40
74,Stir well and cook for a few more minutes.,6,66
75,Mix the ingredients until evenly combined.,8,13
76,Mix the ingredients until evenly combined.,6,118
77,Season with salt and black pepper.,6,41
78,Garnish with fresh herbs before serving.,1,73
79,Season with salt and black pepper.,3,3
80,Stir well and cook for a few more minutes.,7,38
81,Add the main ingredients and cook until tender.,4,43
82,Season with salt and black pepper.,7,73
83,Season with salt and black pepper.,8,71
84,Serve immediately while warm.,5,98
85,Mix the ingredients until evenly combined.,8,59
86,Add the main ingredients and cook until tender.,6,22
87,Add the main ingredients and cook until tender.,8,24
88,Preheat the oven before starting.,1,68
89,Wash and prepare all ingredients.,2,105
90,Wash and prepare all ingredients.,1,53
91,Add the main ingredients and cook until tender.,4,9
92,Add the main ingredients and cook until tender.,1,28
93,Preheat the oven before starting.,8,48
94,Wash and prepare all ingredients.,8,85
95,Mix the ingredients until evenly combined.,1,1
96,Preheat the oven before starting.,7,2
97,Wash and prepare all ingredients.,5,69
98,Stir well and cook for a few more minutes.,1,65
99,Garnish with fresh herbs before serving.,3,14
100,Heat a pan over medium heat.,3,31
101,Season with salt and black pepper.,5,105
102,Serve immediately while warm.,5,102
103,Garnish with fresh herbs before serving.,2,48
104,Garnish with fresh herbs before serving.,8,73
105,Season with salt and black pepper.,4,39
106,Heat a pan over medium heat.,1,12
107,Garnish with fresh herbs before serving.,7,49
108,Preheat the oven before starting.,8,8
109,Wash and prepare all ingredients.,3,11
110,Mix the ingredients until evenly combined.,7,83
111,Serve immediately while warm.,2,115
112,Preheat the oven before starting.,1,30
113,Season with salt and black pepper.,8,35
114,Wash and prepare all ingredients.,2,88
115,Stir well and cook for a few more minutes.,1,23
116,Serve immediately while warm.,1,27
117,Bake until golden and fully cooked.,3,97
118,Garnish with fresh herbs before serving.,2,39
119,Add the main ingredients and cook until tender.,4,73
120,Garnish with fresh herbs before serving.,6,50
