id,text,isApproved,timestamp
1,Add fresh parsley before serving.,False,2026-01-21
2,Add black pepper near the end of cooking.,True,2026-02-09
3,Add black pepper near the end of cooking.,False,2026-04-11
4,Try adding garlic for extra flavor.,True,2026-03-21
5,Add more vegetables to the recipe.,True,2026-01-15
6,Increase the cooking time by five minutes.,True,2026-04-22
7,Add fresh parsley before serving.,False,2026-06-06
8,Try adding garlic for extra flavor.,True,2026-03-21
9,Use olive oil instead of butter.,True,2026-01-04
10,Use olive oil instead of butter.,True,2026-02-11
11,Reduce the oil by one tablespoon.,False,2026-05-14
12,Add black pepper near the end of cooking.,False,2026-02-12
13,Use whole wheat bread for a healthier option.,True,2026-03-10
14,Add fresh parsley before serving.,True,2026-03-27
15,Add more vegetables to the recipe.,False,2026-05-15
16,Add fresh parsley before serving.,False,2026-05-28
17,Add fresh parsley before serving.,False,2026-04-27
18,Add black pepper near the end of cooking.,False,2026-01-15
19,Reduce the oil by one tablespoon.,True,2026-04-05
20,Use olive oil instead of butter.,False,2026-01-27
21,Try adding garlic for extra flavor.,True,2026-02-28
22,Add black pepper near the end of cooking.,True,2026-01-12
23,Reduce the amount of salt slightly.,True,2026-01-12
24,Reduce the oil by one tablespoon.,False,2026-04-09
25,Use olive oil instead of butter.,True,2026-01-10
26,Add black pepper near the end of cooking.,False,2026-02-27
27,Use whole wheat bread for a healthier option.,True,2026-04-17
28,Use whole wheat bread for a healthier option.,False,2026-01-20
29,Try adding garlic for extra flavor.,False,2026-01-31
30,Add black pepper near the end of cooking.,True,2026-02-15
31,Increase the cooking time by five minutes.,True,2026-04-13
32,Add fresh parsley before serving.,False,2026-03-14
33,Add lemon juice for a fresher flavor.,False,2026-01-23
34,Add black pepper near the end of cooking.,False,2026-01-03
35,Use whole wheat bread for a healthier option.,True,2026-03-16
36,Try adding garlic for extra flavor.,False,2026-06-09
37,Increase the cooking time by five minutes.,False,2026-04-05
38,Try adding garlic for extra flavor.,False,2026-02-20
39,Add black pepper near the end of cooking.,True,2026-02-08
40,Reduce the amount of salt slightly.,False,2026-01-07
41,Increase the cooking time by five minutes.,False,2026-06-12
42,Reduce the amount of salt slightly.,False,2026-01-01
43,Add more vegetables to the recipe.,False,2026-01-27
44,Increase the cooking time by five minutes.,True,2026-04-18
45,Reduce the oil by one tablespoon.,True,2026-02-06
46,Add lemon juice for a fresher flavor.,True,2026-01-12
47,Increase the cooking time by five minutes.,False,2026-06-29
48,Use whole wheat bread for a healthier option.,False,2026-01-22
49,Try adding garlic for extra flavor.,True,2026-05-10
50,Use olive oil instead of butter.,False,2026-01-20
