id,name,quantity,unit,isAssigned,receipt_id,suggestion_id
1,yogurt,70.81,g,True,1,
2,cumin,430.14,tsp,False,1,
3,eggs,483.65,piece,False,1,
4,honey,7.45,tsp,True,2,
5,butter,411.3,g,False,3,
6,carrot,54.62,piece,True,3,
7,lentils,236.0,g,False,3,
8,flour,457.67,g,True,3,
9,cumin,454.74,tsp,False,4,
10,yogurt,497.97,g,True,5,
11,oats,49.05,g,True,5,
12,rice,194.63,g,False,5,
13,spinach,335.41,g,False,5,
14,salt,416.93,tsp,False,6,
15,milk,469.56,ml,False,6,
16,butter,109.03,g,False,7,
17,butter,490.47,g,False,8,
18,milk,272.46,ml,False,8,
19,honey,138.3,tsp,True,9,
20,cheese,25.76,g,False,10,
21,onion,122.16,piece,True,10,
22,corn,393.6,g,True,10,
23,beef,34.77,g,True,10,
24,garlic,387.3,piece,True,11,
25,lemon,139.0,piece,True,11,
26,tortilla,399.36,piece,True,12,
27,carrot,330.7,piece,True,12,
28,chicken breast,395.1,g,True,13,
29,olive oil,294.63,tbsp,True,13,
30,carrot,63.82,piece,False,14,
31,pasta,263.28,g,True,14,
32,paprika,54.97,tsp,True,15,
33,butter,472.74,g,True,15,
34,basil,363.76,g,False,15,
35,lentils,229.29,g,True,15,
36,chili powder,423.73,tsp,False,16,
37,parsley,356.34,g,False,17,
38,cheese,161.39,g,True,18,
39,oats,137.87,g,False,19,
40,corn,253.02,g,False,20,
41,bread,50.04,piece,True,20,
42,lettuce,426.47,g,True,20,
43,cumin,215.32,tsp,True,20,
44,lemon,364.94,piece,False,21,
45,cumin,213.67,tsp,False,21,
46,honey,187.46,tsp,True,21,
47,salt,343.57,tsp,False,21,
48,cheese,415.97,g,True,22,
49,milk,30.46,ml,False,23,
50,butter,335.17,g,False,23,
51,oats,177.12,g,False,23,
52,tahini,434.11,tbsp,True,23,
53,corn,52.25,g,True,24,
54,spinach,77.79,g,False,24,
55,olive oil,112.51,tbsp,True,24,
56,tahini,381.42,tbsp,True,25,
57,butter,403.71,g,True,25,
58,yogurt,304.69,g,False,25,
59,avocado,137.0,piece,False,26,
60,olive oil,435.0,tbsp,False,27,
61,chicken breast,35.26,g,True,27,
62,avocado,46.33,piece,True,27,
63,salt,185.34,tsp,False,28,
64,cumin,388.53,tsp,True,28,
65,lemon,441.73,piece,True,28,
66,apple,79.13,piece,True,28,
67,cucumber,221.83,piece,False,29,
68,corn,108.18,g,True,30,
69,paprika,172.91,tsp,True,30,
70,salt,141.98,tsp,False,30,
71,cucumber,263.7,piece,False,30,
72,garlic,197.93,piece,True,31,
73,onion,151.06,piece,True,32,
74,carrot,164.4,piece,True,33,
75,lettuce,248.94,g,False,33,
76,oats,266.52,g,True,34,
77,flour,250.38,g,False,34,
78,honey,430.95,tsp,True,35,
79,beef,288.09,g,False,36,
80,cumin,354.89,tsp,False,36,
81,eggs,145.11,piece,False,36,
82,potato,10.92,g,False,36,
83,peas,416.1,g,False,37,
84,cumin,44.52,tsp,True,37,
85,black pepper,200.52,tsp,True,38,
86,lentils,198.19,g,False,38,
87,garlic,38.65,piece,True,39,
88,lemon,265.54,piece,True,39,
89,apple,453.01,piece,False,39,
90,banana,73.65,piece,True,40,
91,bell pepper,87.16,piece,True,40,
92,milk,380.23,ml,True,40,
93,parsley,377.35,g,False,41,
94,cumin,340.73,tsp,False,41,
95,banana,234.73,piece,False,42,
96,paprika,398.27,tsp,True,42,
97,eggs,176.3,piece,True,42,
98,cumin,28.92,tsp,False,43,
99,paprika,38.83,tsp,True,43,
100,rice,307.7,g,False,43,
101,lentils,454.57,g,True,44,
102,tahini,161.1,tbsp,False,44,
103,rice,250.93,g,True,44,
104,paprika,225.54,tsp,False,44,
105,basil,323.24,g,True,45,
106,paprika,261.61,tsp,True,46,
107,bread,182.27,piece,False,46,
108,salt,394.72,tsp,False,47,
109,lemon,33.42,piece,True,47,
110,corn,279.2,g,False,47,
111,pasta,142.43,g,True,47,
112,cheese,458.41,g,False,48,
113,lentils,483.86,g,False,48,
114,banana,64.91,piece,True,48,
115,tahini,406.69,tbsp,True,49,
116,flour,323.19,g,False,49,
117,lemon,254.49,piece,True,49,
118,spinach,171.2,g,False,50,
119,avocado,96.41,piece,True,50,
120,onion,77.9,piece,False,50,
121,basil,385.55,g,True,51,
122,peas,188.67,g,True,52,
123,oats,90.83,g,True,52,
124,corn,360.73,g,True,52,
125,butter,142.82,g,False,53,
126,bell pepper,117.38,piece,True,53,
127,paprika,155.08,tsp,False,53,
128,peas,452.04,g,True,53,
129,chickpeas,384.83,g,False,54,
130,paprika,251.7,tsp,False,54,
131,cumin,483.15,tsp,True,54,
132,carrot,320.77,piece,False,55,
133,pasta,277.49,g,True,55,
134,lettuce,42.4,g,True,56,
135,paprika,415.61,tsp,True,57,
136,basil,473.23,g,True,57,
137,banana,408.44,piece,False,57,
138,salt,27.1,tsp,False,58,
139,flour,187.77,g,True,59,
140,cheese,159.68,g,True,59,
141,banana,143.8,piece,False,60,
142,oats,348.19,g,True,60,
143,rice,379.54,g,False,60,
144,peas,128.33,g,True,61,
145,chicken breast,274.63,g,False,61,
146,cheese,56.04,g,False,61,
147,beef,119.2,g,True,61,
148,bell pepper,210.2,piece,False,62,
149,yogurt,418.43,g,False,63,
150,basil,287.74,g,True,64,
151,black pepper,176.73,tsp,False,65,
152,chicken breast,94.06,g,True,65,
153,peas,261.98,g,False,65,
154,bread,272.27,piece,True,66,
155,chili powder,127.2,tsp,True,67,
156,rice,178.87,g,True,67,
157,flour,172.73,g,True,67,
158,butter,385.86,g,False,67,
159,rice,273.23,g,True,68,
160,olive oil,415.28,tbsp,False,68,
161,avocado,18.97,piece,True,69,
162,oats,22.38,g,True,69,
163,eggs,442.95,piece,False,69,
164,cumin,466.72,tsp,False,69,
165,carrot,178.81,piece,True,70,
166,rice,432.97,g,False,70,
167,tomato,136.97,piece,False,70,
168,lettuce,218.76,g,False,70,
169,flour,346.19,g,False,71,
170,lemon,462.19,piece,False,71,
171,avocado,400.67,piece,False,71,
172,parsley,39.92,g,True,71,
173,potato,164.3,g,False,72,
174,milk,153.59,ml,False,72,
175,cheese,83.74,g,False,72,
176,paprika,307.62,tsp,False,73,
177,rice,137.64,g,True,73,
178,olive oil,37.98,tbsp,False,73,
179,basil,71.82,g,False,74,
180,apple,17.88,piece,True,74,
181,beef,118.38,g,False,74,
182,flour,302.74,g,False,75,
183,chickpeas,474.44,g,False,75,
184,rice,222.25,g,True,75,
185,bread,199.32,piece,False,76,
186,butter,125.18,g,True,76,
187,avocado,249.77,piece,False,77,
188,carrot,387.59,piece,False,78,
189,peas,347.14,g,False,79,
190,lettuce,100.49,g,True,79,
